year,variable,age,mean,std,cv,upper,lower
2018,n,9,6.4827971227147736e7,4.383945059397744e6,0.06762428279665025,7.359586134594323e7,5.6060081108352244e7
2018,n,10,5.0267994181677446e7,4.168626258895733e6,0.08292804053071182,5.860524669946891e7,4.193074166388598e7
2018,biomass,1,1.2363697451162709e7,1.9477283504485467e6,0.1575360735040777,1.6259154152059803e7,8.468240750265615e6
2018,biomass,2,3.696001548027294e7,5.173768459115515e6,0.13998285422464082,4.7307552398503974e7,2.661247856204191e7
2018,biomass,3,3.796647901682478e7,2.662799671159317e6,0.0701355443042085,4.329207835914341e7,3.264087967450615e7
2018,biomass,4,2.1127313156027076e8,1.1033671285495788e7,0.052224678093286875,2.3334047413126233e8,1.8920578898927918e8
2018,biomass,5,1.0317378685870152e9,4.727485775173501e7,0.0458206092759577,1.126287584090485e9,9.371881530835451e8
2018,biomass,6,4.8933525409167534e8,2.2704990239782996e7,0.04639966168374472,5.347452345712413e8,4.4392527361210936e8
2018,biomass,7,1.0128287933736427e8,5.768221605590972e6,0.05695159580107847,1.1281932254854621e8,8.974643612618233e7
2018,biomass,8,5.861397596435694e7,4.131273646362158e6,0.07048274030880244,6.6876523257081255e7,5.035142867163262e7
2018,biomass,9,5.7776379109429106e7,4.55491801085319e6,0.07883702788342144,6.6886215131135486e7,4.8666543087722726e7
2018,biomass,10,5.0609362340818085e7,4.649997230367558e6,0.09188017819811939,5.9909356801553205e7,4.1309367880082965e7
2022,n,1,1.7598630009787583e8,2.889213508571208e7,0.16417263769761364,2.3377057026929998e8,1.1820202992645168e8
2022,n,2,2.580360909329159e8,2.677312138337182e7,0.10375727397890352,3.115823336996595e8,2.0448984816617227e8
2022,n,3,9.118147897651398e8,6.70252783444135e7,0.07350755778119973,1.0458653464539669e9,7.777642330763128e8
2022,n,4,5.845121235312862e9,3.7150204968530375e8,0.06355762947069463,6.58812533468347e9,5.102117135942255e9
2022,n,5,7.376273366558101e8,5.658545655851885e7,0.07671279756938106,8.507982497728478e8,6.244564235387725e8
2022,n,6,1.6927445353272375e8,1.805104247980029e7,0.10663772414016805,2.0537653849232435e8,1.3317236857312317e8
2022,n,7,1.3622564797742406e8,2.0185255729247395e7,0.14817514931250383,1.7659615943591884e8,9.585513651892927e7
2022,n,8,2.1605335694751558e8,3.947122362724776e7,0.1826920173095771,2.949958042020111e8,1.3711090969302005e8
2022,n,9,1.0211777913722603e8,2.1747731914211668e7,0.21296714536835973,1.4561324296564937e8,5.8622315308802694e7
2022,n,10,5.568823636497898e7,1.1817498146750476e7,0.21220815953478864,7.932323265847993e7,3.2053240071478024e7
2022,biomass,1,4.584571166224091e6,772222.140415888,0.168439339780584,6.129015447055867e6,3.040126885392315e6
2022,biomass,2,4.7073483671757706e7,4.596233773449029e6,0.09763955022956149,5.6265951218655765e7,3.7881016124859646e7
2022,biomass,3,2.5556167463673782e8,1.8815860633085355e7,0.07362551783177475,2.9319339590290856e8,2.179299533705671e8
2022,biomass,4,2.2331760381672273e9,1.455229662256931e8,0.06516412666917389,2.5242219706186132e9,1.942130105715841e9
2022,biomass,5,3.584249247331252e8,2.878670637827694e7,0.08031446585281658,4.159983374896791e8,3.008515119765713e8
2022,biomass,6,9.810174594570094e7,1.1201149661230978e7,0.11417890225349082,1.205040452681629e8,7.569944662323898e7
2022,biomass,7,9.90658870756668e7,1.603700625302173e7,0.16188222531912141,1.3113989958171026e8,6.6991874569623336e7
2022,biomass,8,1.7065446828045794e8,3.343812643265165e7,0.1959405268996448,2.3753072114576125e8,1.0377821541515464e8
2022,biomass,9,8.49702002406406e7,1.9105877633636706e7,0.22485386146587555,1.23181955507914e8,4.6758444973367184e7
2022,biomass,10,5.8762773359978355e7,1.206166715766062e7,0.2052603454192221,8.28861076752996e7,3.463943904465711e7
2024,n,1,4.0478596943491616e9,5.3170198251899034e8,0.13135385677059158,5.111263659387142e9,2.984455729311181e9
2024,n,2,1.4425833804904854e9,1.2985879000798962e8,0.09001822131337531,1.7023009605064647e9,1.1828658004745061e9
2024,n,3,7.928001680815169e8,4.9794780620703936e7,0.06280874125090241,8.923897293229247e8,6.93210606840109e8
2024,n,4,4.204473149814273e8,2.5974639307273764e7,0.06177858290858906,4.7239659359597486e8,3.6849803636687976e8
2024,n,5,8.466685424239854e8,5.021417500279161e7,0.05930794931748617,9.470968924295685e8,7.462401924184022e8
2024,n,6,2.4746441911488967e9,1.5012533074386626e8,0.06066542062120372,2.774894852636629e9,2.1743935296611643e9
2024,n,7,4.115130055120924e8,3.275220055758693e7,0.07958970948398009,4.770174066272663e8,3.4600860439691854e8
2024,n,8,8.915743931912038e7,9.559507368700415e6,0.10722052407185183,1.082764540565212e8,7.003842458171955e7
2024,n,9,6.288411346533323e7,7.671011582884287e6,0.121986478939759,7.82261366311018e7,4.754209029956466e7
2024,n,10,8.49557889114282e7,9.648605689033095e6,0.11357208040398964,1.042530002894944e8,6.565857753336201e7
2024,biomass,1,6.893612202194186e7,8.671033922328694e6,0.12578360470536432,8.627818986659925e7,5.1594054177284464e7
2024,biomass,2,1.284100035432325e8,1.132825611041403e7,0.08821942058898927,1.5106651576406056e8,1.0575349132240444e8
2024,biomass,3,2.4303033114532992e8,1.493409349449123e7,0.061449504776260946,2.728985181343124e8,2.1316214415634745e8
2024,biomass,4,1.8060335042948204e8,1.12965189201265e7,0.06254877826608932,2.0319638826973504e8,1.5801031258922905e8
2024,biomass,5,4.287228794789796e8,2.6318891961168826e7,0.06138905391089409,4.8136066340131724e8,3.7608509555664194e8
2024,biomass,6,1.3384004521167514e9,8.53641062481966e7,0.06378069143146861,1.5091286646131446e9,1.1676722396203582e9
2024,biomass,7,2.559578003627334e8,2.145500261192063e7,0.08382242143632831,2.988678055865747e8,2.1304779513889214e8
2024,biomass,8,6.514607379917915e7,7.4411068303639e6,0.11422187702826167,8.002828745990695e7,5.026386013845135e7
2024,biomass,9,5.2838602104824476e7,6.478187150958733e6,0.12260330313256407,6.579497640674194e7,3.988222780290701e7
2024,biomass,10,8.187027374522415e7,9.155860842277631e6,0.11183376362915523,1.0018199542977941e8,6.3558552060668886e7
