specimen_id,species_code,event_id,organism_weight,fork_length
27335,21740,127,0.75,49.0
27336,21740,127,0.604,44.0
27337,21740,127,0.614,44.0
27338,21740,127,0.652,45.0
27339,21740,127,0.624,46.0
27340,21740,127,0.488,43.0
27341,21740,127,0.652,46.0
27342,21740,127,0.54,44.0
27343,21740,127,0.55,43.0
27344,21740,127,0.396,40.0
27345,21740,127,0.604,44.0
27346,21740,127,0.62,47.0
28102,21740,129,0.754,50.0
28103,21740,129,0.546,45.0
28104,21740,129,0.388,39.0
28105,21740,129,0.502,44.0
25223,21740,118,0.526,45.0
25224,21740,118,0.808,51.0
25225,21740,118,0.37,36.0
25226,21740,118,1.58,62.0
25227,21740,118,0.286,34.0
25228,21740,118,0.464,40.0
25229,21740,118,0.412,39.0
25230,21740,118,0.28,35.0
25231,21740,118,0.454,39.0
25232,21740,118,0.038,17.0
25233,21740,118,0.048,19.0
25234,21740,118,0.058,20.0
25235,21740,118,0.032,17.0
25236,21740,118,0.02,15.0
25237,21740,118,0.024,15.0
25238,21740,118,0.02,14.0
25239,21740,118,0.024,15.0
25240,21740,118,0.028,16.0
25241,21740,118,0.02,15.0
25242,21740,118,0.032,17.0
25243,21740,118,0.024,15.0
25244,21740,118,0.024,16.0
25245,21740,118,0.022,15.0
25246,21740,118,0.026,15.0
25247,21740,118,0.016,14.0
25248,21740,118,0.018,14.0
25249,21740,118,0.022,15.0
26136,21740,120,0.448,40.0
26137,21740,120,0.59,43.0
26138,21740,120,0.502,40.0
26139,21740,120,0.626,44.0
26140,21740,120,0.41,40.0
26141,21740,120,0.574,42.0
26142,21740,120,0.604,45.0
26143,21740,120,0.68,46.0
26144,21740,120,0.654,44.0
26145,21740,120,0.46,40.0
26146,21740,120,0.418,39.0
26147,21740,120,0.576,43.0
26148,21740,120,0.41,39.0
26149,21740,120,0.732,47.0
26150,21740,120,0.61,45.0
26151,21740,120,0.492,42.0
26152,21740,120,0.484,41.0
26153,21740,120,0.602,44.0
26154,21740,120,0.472,38.0
26155,21740,120,0.61,45.0
26156,21740,120,0.44,40.0
26157,21740,120,0.39,37.0
26158,21740,120,0.634,43.0
26159,21740,120,0.36,37.0
26160,21740,120,0.502,39.0
26161,21740,120,0.574,43.0
26162,21740,120,0.472,39.0
26163,21740,120,0.65,46.0
27380,21740,127,0.652,47.0
27381,21740,127,0.706,48.0
27382,21740,127,0.538,42.0
27383,21740,127,0.562,44.0
27384,21740,127,0.832,53.0
27385,21740,127,0.756,50.0
27386,21740,127,0.544,45.0
27387,21740,127,0.582,43.0
27388,21740,127,0.812,50.0
27389,21740,127,0.528,45.0
27390,21740,127,0.538,44.0
27391,21740,127,0.654,43.0
27392,21740,127,0.586,44.0
27393,21740,127,0.674,46.0
27394,21740,127,0.69,48.0
27395,21740,127,0.598,44.0
27396,21740,127,0.702,45.0
27397,21740,127,0.76,48.0
27398,21740,127,0.668,47.0
27399,21740,127,0.524,42.0
27400,21740,127,0.602,44.0
27401,21740,127,0.634,45.0
27402,21740,127,0.704,47.0
27403,21740,127,0.61,45.0
27404,21740,127,0.598,46.0
27405,21740,127,0.696,45.0
27406,21740,127,0.592,46.0
27407,21740,127,0.51,43.0
27408,21740,127,0.606,46.0
27409,21740,127,0.572,44.0
25250,21740,118,0.016,13.0
25251,21740,118,0.018,13.0
25252,21740,118,0.016,14.0
26164,21740,120,0.54,43.0
26165,21740,120,0.504,41.0
26166,21740,120,0.324,34.0
26167,21740,120,0.408,40.0
26168,21740,120,0.648,45.0
26169,21740,120,0.448,39.0
26170,21740,120,0.592,44.0
26171,21740,120,0.598,42.0
26172,21740,120,0.596,43.0
26173,21740,120,0.384,38.0
26174,21740,120,0.692,45.0
26175,21740,120,0.556,44.0
26176,21740,120,0.44,40.0
26177,21740,120,0.572,43.0
26178,21740,120,0.662,45.0
26179,21740,120,0.776,48.0
26180,21740,120,0.59,43.0
26181,21740,120,0.506,41.0
26182,21740,120,0.45,41.0
26183,21740,120,0.616,46.0
26184,21740,120,0.656,45.0
26185,21740,120,0.524,41.0
26186,21740,120,0.582,44.0
26187,21740,120,0.524,43.0
26188,21740,120,0.332,37.0
26189,21740,120,0.71,47.0
26190,21740,120,0.656,43.0
26191,21740,120,0.42,39.0
26192,21740,120,0.576,43.0
26193,21740,120,0.442,38.0
26194,21740,120,0.534,41.0
26195,21740,120,0.466,41.0
26196,21740,120,0.644,44.0
26197,21740,120,0.442,39.0
26198,21740,120,0.536,45.0
26199,21740,120,0.542,42.0
27444,21740,127,0.598,44.0
27445,21740,127,0.526,43.0
27446,21740,127,0.588,43.0
25383,21740,118,0.466,40.0
25384,21740,118,0.396,42.0
25385,21740,118,0.816,49.0
25386,21740,118,0.732,46.0
25387,21740,118,0.602,43.0
25388,21740,118,0.818,50.0
25389,21740,118,0.684,49.0
25390,21740,118,0.77,48.0
25391,21740,118,0.606,45.0
